Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	XL_1 Spectral Count	XL_2 Spectral Count	XL_3 Spectral Count	nonXL_1 Spectral Count	nonXL_2 Spectral Count	nonXL_3 Spectral Count	XL_1 Unique Spectral Count	XL_2 Unique Spectral Count	XL_3 Unique Spectral Count	nonXL_1 Unique Spectral Count	nonXL_2 Unique Spectral Count	nonXL_3 Unique Spectral Count	XL_1 Total Spectral Count	XL_2 Total Spectral Count	XL_3 Total Spectral Count	nonXL_1 Total Spectral Count	nonXL_2 Total Spectral Count	nonXL_3 Total Spectral Count	XL_1 Intensity	XL_2 Intensity	XL_3 Intensity	nonXL_1 Intensity	nonXL_2 Intensity	nonXL_3 Intensity	XL_1 MaxLFQ Intensity	XL_2 MaxLFQ Intensity	XL_3 MaxLFQ Intensity	nonXL_1 MaxLFQ Intensity	nonXL_2 MaxLFQ Intensity	nonXL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P30837|AL1B1_HUMAN	P30837	AL1B1_HUMAN	ALDH1B1	517	Homo sapiens	1:Experimental evidence at protein level	Aldehyde dehydrogenase X, mitochondrial	1.0	0.999	13	24	24	27	0	0	0	12	6	6	0	0	0	12	6	6	1	0	0	13	7	6	0.0	2747787.5	0.0	7.7546232E7	4.2473536E7	9.0372184E7	0.0	0.0	0.0	2.2477164E7	2.1438522E7	2.4031092E7	
sp|P30876|RPB2_HUMAN	P30876	RPB2_HUMAN	POLR2B	1174	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB2	1.0	0.999	25	62	62	62	4	1	0	20	17	20	4	1	0	20	17	20	4	1	0	20	17	20	1.506645E7	5671576.5	8156938.0	1.38354368E8	1.10804448E8	1.59445232E8	3746026.0	2492769.5	2270871.0	1.587154E7	1.662797E7	1.5615729E7	
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0	0.999	11	24	24	24	0	0	0	7	7	10	0	0	0	7	7	10	0	0	0	7	7	10	0.0	555118.06	0.0	7.5292808E7	6.0040204E7	6.8372432E7	0.0	0.0	0.0	1.1632504E7	1.2437041E7	1.1399941E7	
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor alpha	1.0	0.999	23	31	31	63	0	0	0	10	10	11	0	0	0	10	10	11	0	0	0	21	20	22	0.0	0.0	0.0	1.75307552E8	2.0929216E8	1.6692704E8	0.0	0.0	0.0	2.5152314E7	2.4963546E7	2.5858946E7	
sp|P31151|S10A7_HUMAN	P31151	S10A7_HUMAN	S100A7	101	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A7	1.0	0.999	6	23	11	23	8	8	7	0	0	0	3	4	4	0	0	0	8	8	7	0	0	0	5.8332728E7	6.3438072E7	6.1136976E7	699277.94	618852.2	0.0	1.7372338E7	1.949395E7	2.0596256E7	0.0	0.0	0.0	
sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	MAT2A	395	Homo sapiens	1:Experimental evidence at protein level	S-adenosylmethionine synthase isoform type-2	1.0	0.999	16	66	56	66	9	7	6	15	14	15	8	6	5	12	12	13	9	7	6	15	14	15	4.5140272E7	4.0633484E7	4.7240288E7	4.20150272E8	4.29446176E8	4.25634368E8	8127443.0	7690924.0	8700550.0	6.873692E7	7.3014528E7	7.4183568E7	
sp|P31350|RIR2_HUMAN	P31350	RIR2_HUMAN	RRM2	389	Homo sapiens	1:Experimental evidence at protein level	Ribonucleoside-diphosphate reductase subunit M2	1.0	0.999	6	26	20	26	5	2	2	5	7	5	4	2	1	4	6	3	5	2	2	5	7	5	3.7213956E7	8646503.0	7714843.0	4.738598E7	3.7963656E7	4.6187912E7	6400129.0	5675049.5	6777421.0	1.5762309E7	1.3179458E7	1.5136588E7	
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 1	1.0	0.999	19	94	94	94	10	11	11	20	22	20	10	11	11	20	22	20	10	11	11	20	22	20	1.57518928E8	1.62080192E8	1.79480784E8	1.00469427E9	9.8490278E8	1.00790515E9	2.3193656E7	2.3955352E7	2.6088006E7	1.55652928E8	1.49792208E8	1.56143184E8	
sp|P31749|AKT1_HUMAN	P31749	AKT1_HUMAN	AKT1	480	Homo sapiens	1:Experimental evidence at protein level	RAC-alpha serine/threonine-protein kinase	0.9988	0.9841	3	5	4	5	0	0	0	2	2	1	0	0	0	1	2	1	0	0	0	2	2	1	0.0	0.0	0.0	6029911.0	5821756.0	5697134.5	0.0	0.0	0.0	3980374.2	3971622.0	3913660.2	
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 1, mitochondrial	1.0	0.999	15	42	42	42	0	0	0	14	13	15	0	0	0	14	13	15	0	0	0	14	13	15	2560818.5	0.0	0.0	2.18711584E8	2.40848E8	2.85178528E8	2359326.5	0.0	0.0	3.6770796E7	4.1847332E7	3.7522156E7	
sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	Homo sapiens	1:Experimental evidence at protein level	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.0	0.9989	3	5	5	5	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	0.0	0.0	0.0	8105730.0	9913248.0	8578450.0	0.0	0.0	0.0	4991732.5	6017227.5	5402445.5	
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens	1:Experimental evidence at protein level	Bifunctional purine biosynthesis protein ATIC	1.0	0.999	26	73	73	73	0	0	0	23	28	22	0	0	0	23	28	22	0	0	0	23	28	22	997334.6	6736939.0	3731105.8	4.07593664E8	4.6261792E8	4.24990624E8	917699.56	1467928.6	1179677.1	2.8513334E7	2.9061538E7	2.9817786E7	
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0	0.999	17	75	35	75	14	14	14	12	10	11	6	6	7	6	5	5	14	14	14	12	10	11	1.37265824E8	1.83501072E8	1.7757352E8	2.91974464E8	3.48913248E8	3.31794784E8	2.8258956E7	2.9380806E7	2.9717236E7	7.7134336E7	7.97626E7	8.1769576E7	
sp|P31944|CASPE_HUMAN	P31944	CASPE_HUMAN	CASP14	242	Homo sapiens	1:Experimental evidence at protein level	Caspase-14	1.0	0.999	9	24	24	24	8	8	8	0	0	0	8	8	8	0	0	0	8	8	8	0	0	0	5.3124416E7	5.4929052E7	4.3752252E7	3077057.8	6689301.5	4284825.0	1.0277125E7	1.0698246E7	1.1082666E7	0.0	5051763.5	0.0	
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein beta/alpha	1.0	0.999	16	38	38	100	4	4	4	9	9	8	4	4	4	9	9	8	11	12	10	23	22	22	2.521713E7	3.60612E7	3.766088E7	6.2358752E8	5.7194957E8	5.8857594E8	9673190.0	8517831.0	8744953.0	1.51525904E8	1.4125496E8	1.44070912E8	
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein sigma	1.0	0.999	19	47	47	89	1	1	1	15	12	17	1	1	1	15	12	17	7	5	6	26	20	25	2.907794E7	2.2516532E7	2.4127286E7	6.3821549E8	6.9496275E8	6.4799866E8	7515854.5	7509396.0	7656224.5	1.30032632E8	1.4477168E8	1.30621072E8	
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1.0	0.999	42	177	177	177	16	18	20	41	39	43	16	18	20	41	39	43	16	18	20	41	39	43	8.7648128E7	1.10471648E8	1.11486768E8	2.13915981E9	2.07383936E9	2.13346317E9	1.1515339E7	1.1744824E7	1.2231492E7	1.44949008E8	1.47139952E8	1.43752608E8	
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A11	1.0	0.999	4	17	17	17	1	1	1	4	5	5	1	1	1	4	5	5	1	1	1	4	5	5	4875765.0	5611922.0	8885968.0	1.33804464E8	1.3369508E8	1.31220144E8	3108306.8	3540219.5	4139839.2	4.7542116E7	4.6664816E7	4.4231288E7	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-2	1.0	0.999	10	45	45	55	4	6	6	9	11	9	4	6	6	9	11	9	6	7	7	11	13	11	5.8394384E7	5.4984748E7	5.7881888E7	5.5544704E8	5.5711891E8	5.798009E8	1.5150863E7	1.4560399E7	1.394541E7	1.2169708E8	1.35601872E8	1.29902912E8	
sp|P32320|CDD_HUMAN	P32320	CDD_HUMAN	CDA	146	Homo sapiens	1:Experimental evidence at protein level	Cytidine deaminase	0.9999	0.999	2	4	4	4	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0.0	0.0	0.0	2.6265694E7	2.4317192E7	2.611802E7	0.0	0.0	0.0	1.99879E7	1.9028624E7	1.9469278E7	
sp|P32321|DCTD_HUMAN	P32321	DCTD_HUMAN	DCTD	178	Homo sapiens	1:Experimental evidence at protein level	Deoxycytidylate deaminase	0.9986	0.9987	2	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0.0	0.0	0.0	1854778.1	3450950.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32322|P5CR1_HUMAN	P32322	P5CR1_HUMAN	PYCR1	319	Homo sapiens	1:Experimental evidence at protein level	Pyrroline-5-carboxylate reductase 1, mitochondrial	1.0	0.999	9	34	25	34	1	1	1	10	10	11	0	0	0	8	8	9	1	1	1	10	10	11	8249312.0	1.7144158E7	1.4795914E7	2.03102176E8	1.99224432E8	2.2470568E8	4323303.0	5681500.5	5414294.0	3.6032656E7	3.5455128E7	3.8730012E7	
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL6	1.0	0.999	11	69	69	69	5	6	5	16	16	21	5	6	5	16	16	21	5	6	5	16	16	21	1.01965608E8	9.8383248E7	1.09600536E8	2.21911066E9	2.28379238E9	2.22424678E9	3.149017E7	2.9271778E7	2.8262342E7	4.920576E8	5.0773552E8	4.82133216E8	
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens	1:Experimental evidence at protein level	Kinesin-1 heavy chain	1.0	0.999	35	90	67	90	4	5	2	27	26	26	2	3	1	21	20	20	4	5	2	27	26	26	1.6649262E7	1.5117545E7	1.5787505E7	2.42055792E8	2.28968832E8	2.66061824E8	2692604.0	2650639.2	2723573.5	1.7873614E7	1.7214892E7	1.754056E7	
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens	1:Experimental evidence at protein level	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.0	0.9989	6	17	17	17	1	1	1	5	4	5	1	1	1	5	4	5	1	1	1	5	4	5	7225992.5	5014770.0	4583180.0	4.2202668E7	3.7423224E7	3.4225904E7	2824277.5	2497771.8	3111260.2	2.1427582E7	1.7400318E7	1.9019232E7	
sp|P33527|MRP1_HUMAN	P33527	MRP1_HUMAN	ABCC1	1531	Homo sapiens	1:Experimental evidence at protein level	Multidrug resistance-associated protein 1	1.0	0.9965	8	12	9	12	0	0	0	7	2	3	0	0	0	6	2	1	0	0	0	7	2	3	0.0	0.0	0.0	1.3201797E7	1.1925644E7	1.228487E7	0.0	0.0	0.0	4119651.8	4569735.5	4731572.5	
sp|P33991|MCM4_HUMAN	P33991	MCM4_HUMAN	MCM4	863	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM4	1.0	0.999	25	54	52	54	0	4	1	16	16	17	0	4	1	16	15	16	0	4	1	16	16	17	2.500539E7	3.4369576E7	3.4195976E7	1.84280752E8	2.07649584E8	2.4937656E8	5893033.0	6232547.0	6097367.5	2.6148702E7	2.5428688E7	2.6148668E7	
sp|P33992|MCM5_HUMAN	P33992	MCM5_HUMAN	MCM5	734	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM5	1.0	0.999	16	46	46	46	2	4	5	14	9	12	2	4	5	14	9	12	2	4	5	14	9	12	1.251647E7	1.3861048E7	2.0361372E7	1.02656232E8	7.895076E7	8.931956E7	4819481.0	5249657.0	5939307.5	1.1954904E7	1.3029197E7	1.2582612E7	
sp|P33993|MCM7_HUMAN	P33993	MCM7_HUMAN	MCM7	719	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM7	1.0	0.999	23	90	90	90	8	11	10	20	19	22	8	11	10	20	19	22	8	11	10	20	19	22	3.8344932E7	3.6295484E7	4.871564E7	2.50281968E8	2.29275264E8	2.7122448E8	8038893.5	7433073.0	7148456.5	2.7347994E7	2.8417078E7	2.9469766E7	
sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	SHMT1	483	Homo sapiens	1:Experimental evidence at protein level	Serine hydroxymethyltransferase, cytosolic	1.0	0.9989	8	18	18	18	0	0	0	4	7	7	0	0	0	4	7	7	0	0	0	4	7	7	0.0	0.0	0.0	2.7675578E7	2.6072016E7	2.8423638E7	0.0	0.0	0.0	6119040.5	6869764.5	6121766.0	
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens	1:Experimental evidence at protein level	Serine hydroxymethyltransferase, mitochondrial	1.0	0.999	21	74	74	74	5	3	2	22	22	20	5	3	2	22	22	20	5	3	2	22	22	20	2.600531E7	1.4444485E7	1.918901E7	3.65886144E8	3.67047808E8	3.84240832E8	3988998.0	4082484.8	4329397.5	3.6889232E7	3.9794124E7	4.2996304E7	
sp|P34913|HYES_HUMAN	P34913	HYES_HUMAN	EPHX2	555	Homo sapiens	1:Experimental evidence at protein level	Bifunctional epoxide hydrolase 2	0.8746	0.9964	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	1122497.1	1274268.9	1289460.9	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 4	1.0	0.999	44	172	159	172	10	11	12	45	47	47	8	9	11	43	44	44	10	11	12	45	47	47	4.7730464E7	6.146484E7	5.5647568E7	1.11599475E9	1.13939149E9	1.11419571E9	7801451.0	7593105.5	7903021.0	8.78198E7	9.1008088E7	9.5786208E7	
sp|P34949|MPI_HUMAN	P34949	MPI_HUMAN	MPI	423	Homo sapiens	1:Experimental evidence at protein level	Mannose-6-phosphate isomerase	0.6269	0.9852	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	6494549.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35080|PROF2_HUMAN	P35080	PROF2_HUMAN	PFN2	140	Homo sapiens	1:Experimental evidence at protein level	Profilin-2	1.0	0.999	3	14	14	14	1	1	2	4	3	3	1	1	2	4	3	3	1	1	2	4	3	3	4175165.0	6124944.0	6510852.0	1.36858912E8	1.37393024E8	1.39885776E8	0.0	4644635.0	4369125.0	6.6004024E7	6.8505816E7	6.9169016E7	
sp|P35221|CTNA1_HUMAN	P35221	CTNA1_HUMAN	CTNNA1	906	Homo sapiens	1:Experimental evidence at protein level	Catenin alpha-1	1.0	0.999	17	39	29	39	1	0	1	14	13	10	1	0	0	11	10	7	1	0	1	14	13	10	2096203.0	4077323.2	1918615.0	1.18638464E8	1.11333624E8	1.29040392E8	1063603.9	1437557.4	1063930.8	1.3460163E7	1.2336868E7	1.3282451E7	
sp|P35222|CTNB1_HUMAN	P35222	CTNB1_HUMAN	CTNNB1	781	Homo sapiens	1:Experimental evidence at protein level	Catenin beta-1	1.0	0.999	13	10	10	25	0	0	0	3	4	3	0	0	0	3	4	3	1	0	0	7	9	8	396522.56	364509.06	2242723.2	5.0374676E7	3.6267408E7	4.6148284E7	0.0	0.0	2933964.5	1.66724E7	1.8067036E7	1.6226367E7	
sp|P35232|PHB1_HUMAN	P35232	PHB1_HUMAN	PHB1	272	Homo sapiens	1:Experimental evidence at protein level	Prohibitin 1	1.0	0.999	16	68	68	68	6	5	6	18	17	16	6	5	6	18	17	16	6	5	6	18	17	16	1.6670703E7	2.3349968E7	2.1518208E7	7.5394982E8	7.2637965E8	7.7038208E8	3291527.8	3564635.5	3658616.5	7.7068888E7	8.1259664E7	7.9594312E7	
sp|P35240|MERL_HUMAN	P35240	MERL_HUMAN	NF2	595	Homo sapiens	1:Experimental evidence at protein level	Merlin	0.8452	0.9954	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35241|RADI_HUMAN	P35241	RADI_HUMAN	RDX	583	Homo sapiens	1:Experimental evidence at protein level	Radixin	1.0	0.999	36	49	47	138	1	1	1	16	17	13	1	1	1	15	16	13	8	8	10	39	39	34	3803459.0	5170748.0	3469395.2	1.62079248E8	1.72422976E8	1.50772336E8	1947405.4	1860336.9	2188725.2	2.050108E7	1.9945524E7	1.9189884E7	
sp|P35244|RFA3_HUMAN	P35244	RFA3_HUMAN	RPA3	121	Homo sapiens	1:Experimental evidence at protein level	Replication protein A 14 kDa subunit	1.0	0.999	5	16	16	16	0	0	2	4	5	5	0	0	2	4	5	5	0	0	2	4	5	5	2192608.0	1556547.5	3112045.0	7.2405448E7	9.5332248E7	9.6145512E7	0.0	0.0	3977103.2	2.0378742E7	2.7500632E7	2.6568916E7	
sp|P35249|RFC4_HUMAN	P35249	RFC4_HUMAN	RFC4	363	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 4	1.0	0.9988	8	18	18	18	1	1	1	5	3	7	1	1	1	5	3	7	1	1	1	5	3	7	4280852.0	5665209.0	1563508.8	3.0831056E7	3.5861148E7	4.2293536E7	2905375.5	4185881.8	0.0	7295583.5	7122766.5	8256719.5	
sp|P35250|RFC2_HUMAN	P35250	RFC2_HUMAN	RFC2	354	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 2	1.0	0.9989	8	22	22	22	0	3	1	5	8	5	0	3	1	5	8	5	0	3	1	5	8	5	5200807.5	8256785.0	6752341.0	2.5150016E7	3.7553956E7	4.2535056E7	2286562.5	2937009.2	3457620.5	9260902.0	1.0457012E7	1.0254323E7	
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL22	1.0	0.999	6	31	24	31	3	3	4	8	6	7	3	3	3	6	4	5	3	3	4	8	6	7	5.5142024E7	4.4411392E7	5.9236984E7	1.48357107E9	1.3489184E9	1.39905536E9	2.3085046E7	2.2779346E7	2.2890252E7	5.29320576E8	4.8518544E8	5.0487952E8	
sp|P35269|T2FA_HUMAN	P35269	T2FA_HUMAN	GTF2F1	517	Homo sapiens	1:Experimental evidence at protein level	General transcription factor IIF subunit 1	1.0	0.9982	3	6	6	6	3	1	2	0	0	0	3	1	2	0	0	0	3	1	2	0	0	0	5068899.5	2773268.5	6896458.5	0.0	2455314.8	0.0	2593011.2	0.0	3529213.5	0.0	0.0	0.0	
sp|P35270|SPRE_HUMAN	P35270	SPRE_HUMAN	SPR	261	Homo sapiens	1:Experimental evidence at protein level	Sepiapterin reductase	1.0	0.9981	5	11	11	11	0	0	0	4	4	3	0	0	0	4	4	3	0	0	0	4	4	3	0.0	0.0	0.0	3.2826148E7	3.2441118E7	1.980082E7	0.0	0.0	0.0	1.3311808E7	1.4002498E7	1.0755749E7	
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	36	351	346	351	57	52	52	67	60	63	55	51	51	66	60	63	57	52	52	67	60	63	4.4199818E9	4.5454607E9	4.7199754E9	1.09806019E10	1.13060987E10	1.10048338E10	5.5660774E8	5.79032E8	5.8251398E8	1.48418867E9	1.50724032E9	1.46903987E9	
sp|P35573|GDE_HUMAN	P35573	GDE_HUMAN	AGL	1532	Homo sapiens	1:Experimental evidence at protein level	Glycogen debranching enzyme	0.9939	0.9902	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	7.8761888E7	0.0	0.0	8730206.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens	1:Experimental evidence at protein level	Myosin-9	1.0	0.999	242	4562	3895	4562	62	56	52	1474	1463	1455	50	47	45	1240	1260	1253	62	56	52	1474	1463	1455	7.9360435E8	6.5540294E8	5.3888672E8	1.78519304E12	1.69329033E12	1.64416586E12	2.8063522E7	2.5724856E7	2.2728652E7	6.093303E10	5.9002692E10	5.9858522E10	
sp|P35580|MYH10_HUMAN	P35580	MYH10_HUMAN	MYH10	1976	Homo sapiens	1:Experimental evidence at protein level	Myosin-10	1.0	0.999	195	936	882	1396	0	0	0	318	312	306	0	0	0	298	295	289	8	6	4	484	451	443	1.7246856E7	9387163.0	4.1933928E7	6.1008667E10	6.2337618E10	6.1801198E10	1.283432E7	7877815.0	1.4502259E7	1.55609229E9	1.59426688E9	1.57726848E9	
sp|P35606|COPB2_HUMAN	P35606	COPB2_HUMAN	COPB2	906	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit beta'	1.0	0.999	31	90	90	90	3	2	5	26	28	26	3	2	5	26	28	26	3	2	5	26	28	26	1.6706141E7	2.071575E7	2.6468952E7	3.84402048E8	4.65237984E8	4.46921472E8	3185222.2	3655409.8	3708430.0	2.8346418E7	2.8905714E7	2.9873042E7	
sp|P35613|BASI_HUMAN	P35613	BASI_HUMAN	BSG	385	Homo sapiens	1:Experimental evidence at protein level	Basigin	1.0	0.999	8	22	22	22	1	0	0	7	7	7	1	0	0	7	7	7	1	0	0	7	7	7	2228699.0	0.0	0.0	2.04743616E8	1.82942544E8	1.74724544E8	0.0	0.0	0.0	6.3771732E7	5.5330304E7	5.24207E7	
sp|P35637|FUS_HUMAN	P35637	FUS_HUMAN	FUS	526	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein FUS	0.9933	0.999	3	8	8	20	1	2	1	1	1	2	1	2	1	1	1	2	3	4	2	3	4	4	5656149.5	5627308.0	5612187.0	5779671.0	5895905.0	7799247.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35658|NU214_HUMAN	P35658	NU214_HUMAN	NUP214	2090	Homo sapiens	1:Experimental evidence at protein level	Nuclear pore complex protein Nup214	0.9846	0.9847	2	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	0.0	468637.62	3417058.5	0.0	7311315.5	0.0	0.0	0.0	2014865.0	0.0	4142514.0	
sp|P35659|DEK_HUMAN	P35659	DEK_HUMAN	DEK	375	Homo sapiens	1:Experimental evidence at protein level	Protein DEK	1.0	0.9989	3	5	5	5	2	1	1	1	0	0	2	1	1	1	0	0	2	1	1	1	0	0	3482105.5	3664421.5	3966216.0	0.0	0.0	0.0	1933544.5	2062488.8	2250298.2	0.0	0.0	0.0	
sp|P35749|MYH11_HUMAN	P35749	MYH11_HUMAN	MYH11	1972	Homo sapiens	1:Experimental evidence at protein level	Myosin-11	1.0	0.9982	40	6	6	414	0	0	0	4	1	1	0	0	0	4	1	1	6	5	3	147	126	127	0.0	0.0	0.0	3.7200648E7	3.6118952E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	57	368	288	409	64	66	57	59	61	61	51	52	46	46	47	46	71	73	63	66	69	67	3.78747341E9	3.55595802E9	3.87367219E9	3.82859238E9	3.7136832E9	3.76112307E9	2.941424E8	2.9725408E8	3.03188032E8	3.13197472E8	3.06589568E8	3.05846656E8	
sp|P35914|HMGCL_HUMAN	P35914	HMGCL_HUMAN	HMGCL	325	Homo sapiens	1:Experimental evidence at protein level	Hydroxymethylglutaryl-CoA lyase, mitochondrial	0.9996	0.9985	2	4	4	4	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0.0	0.0	0.0	6048531.5	5905666.0	5433277.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P35998|PRS7_HUMAN	P35998	PRS7_HUMAN	PSMC2	433	Homo sapiens	1:Experimental evidence at protein level	26S proteasome regulatory subunit 7	1.0	0.999	67	1296	1296	1381	242	252	250	180	187	185	242	252	250	180	187	185	259	265	264	195	199	199	9.9514188E10	1.11638274E11	1.08475949E11	2.1157059E11	2.16137318E11	2.1613396E11	6.8742405E9	6.9670216E9	7.1598346E9	1.44376525E10	1.4978987E10	1.47665541E10	
sp|P36404|ARL2_HUMAN	P36404	ARL2_HUMAN	ARL2	184	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor-like protein 2	0.9999	0.997	3	6	6	6	0	0	0	3	1	2	0	0	0	3	1	2	0	0	0	3	1	2	8.8536872E7	8.8726312E7	8.930104E7	1.4969943E7	8380239.0	9114626.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P36405|ARL3_HUMAN	P36405	ARL3_HUMAN	ARL3	182	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor-like protein 3	1.0	0.9987	4	6	6	6	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0.0	0.0	662418.4	1676672.6	4117585.5	4288750.0	0.0	0.0	0.0	0.0	2950396.5	2875270.8	
sp|P36507|MP2K2_HUMAN	P36507	MP2K2_HUMAN	MAP2K2	400	Homo sapiens	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 2	1.0	0.999	8	18	11	18	0	0	0	5	9	4	0	0	0	4	5	2	0	0	0	5	9	4	0.0	1589117.2	1288207.0	3.9132624E8	3.99743008E8	4.11276544E8	0.0	1.0535076E7	0.0	1.65372416E8	1.64207632E8	1.8230248E8	
sp|P36542|ATPG_HUMAN	P36542	ATPG_HUMAN	ATP5F1C	298	Homo sapiens	1:Experimental evidence at protein level	ATP synthase subunit gamma, mitochondrial	1.0	0.999	11	38	38	38	1	1	1	10	12	13	1	1	1	10	12	13	1	1	1	10	12	13	6657603.0	3113207.0	4822316.5	2.30870016E8	2.3496008E8	2.25420224E8	2204135.8	2958638.0	2434280.8	3.869242E7	3.7783056E7	3.5349708E7	
sp|P36543|VATE1_HUMAN	P36543	VATE1_HUMAN	ATP6V1E1	226	Homo sapiens	1:Experimental evidence at protein level	V-type proton ATPase subunit E 1	1.0	0.999	7	16	12	16	0	0	0	5	5	6	0	0	0	4	3	5	0	0	0	5	5	6	1570736.2	1342686.5	1548814.8	1.47865344E8	1.54218064E8	1.7504648E8	0.0	0.0	0.0	1.1134224E8	1.15825792E8	1.32973E8	
