Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_222_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H144_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H225_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H240_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H322_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H446_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H457_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H466_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H467_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H471_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T83_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T349_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T350_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T406_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T410_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T413_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T441_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T463_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T488_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T506_01.mzML
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A;UBA52;UBB;UBC	Polyubiquitin-B	3.73575e+07	3.33292e+07	3.73303e+07	2.86913e+07	5.5401e+07	3.53678e+07	4.37198e+07	7.40355e+07	5.61749e+07	3.08173e+07	3.47583e+07	5.71766e+07	5.06855e+07	2.72293e+07	3.0401e+07	6.55222e+07	3.67647e+07	4.07145e+07	4.49353e+07	3.26116e+07
P0DI81;P0DI82	P0DI81;P0DI82	TPC2A_HUMAN;TPC2B_HUMAN	TRAPPC2;TRAPPC2B	Trafficking protein particle complex subunit 2			144052	89769.4		111784	64324.7	74220.5		104331				211043			90750		26290.7	
P0DJI8	P0DJI8;P0DJI9	SAA1_HUMAN	SAA1	Serum amyloid A-1 protein	1.87654e+07	5.27659e+06	8.11871e+06	2.5312e+07	4.01492e+07	2.95092e+06	4.93925e+06	1.56682e+07	1.6572e+07	5.30799e+06	8.9381e+06	6.83092e+06	2.64118e+07	8.15368e+06	1.44474e+07	7.80433e+07	1.36632e+07	9.35783e+06	9.19987e+07	1.59198e+09
P0DJI9	P0DJI9	SAA2_HUMAN	SAA2	Serum amyloid A-2 protein	9.89083e+06				443371						8.13775e+06			120551	7.48364e+06	192654			111225	3.70779e+06
P0DMM9;P0DMN0	P0DMM9;P0DMN0	ST1A3_HUMAN;ST1A4_HUMAN	SULT1A3;SULT1A4	Sulfotransferase 1A3	1.79803e+06	2.05715e+06	2.22815e+06	1.88754e+06	1.63667e+06	1.41568e+06	1.70364e+06	1.45031e+06	1.21871e+06	1.04339e+06	1.72551e+06	1.06134e+06	874591	2.42722e+06	1.57095e+06	1.46279e+06	1.76886e+06	1.3714e+06	1.42153e+06	1.40152e+06
P0DMQ5	P0DMQ5	INAM2_HUMAN	INAFM2	Putative transmembrane protein INAFM2	1.01567e+06	1.02368e+06	567731	918292	729495	634589	359016	937061	660864	1.02137e+06	515840	1.2964e+06		806882	454875	784166	927464	982113	379264	298986
P0DMV8;P0DMV9	P0DMV8;P0DMV9;P17066;P48741	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A	1.25937e+07	1.22582e+07	1.36347e+07	1.2315e+07	1.42561e+07	1.34426e+07	1.41865e+07	1.29927e+07	1.59092e+07	1.49982e+07	1.25607e+07	1.20337e+07	1.03652e+07	1.54314e+07	9.65713e+06	1.24361e+07	1.47249e+07	1.35506e+07	1.55879e+07	1.08967e+07
P0DOY2;P0DOY3	P0DOY2;P0DOY3	IGLC2_HUMAN;IGLC3_HUMAN	IGLC2;IGLC3	Immunoglobulin lambda constant 2	8.61166e+07	5.81811e+07	3.32707e+07	4.64403e+07	6.23709e+07	1.81092e+07	4.44722e+07	7.36283e+07	5.03058e+07	5.30074e+07	5.90263e+07	4.0452e+07	1.14768e+08	1.98524e+07	6.21539e+07	2.68734e+07	3.63692e+07	9.28184e+07	6.9228e+07	9.76096e+07
P0DP01	P0DP01	HV108_HUMAN	IGHV1-8	Immunoglobulin heavy variable 1-8	2.50789e+06	232610	327350		251986	662088	449542	343367	630087	630426	1.21286e+06		682367			137580	282173		744878	2.00283e+06
P0DP08	P0DP08	HVD82_HUMAN	IGHV4-38-2	Immunoglobulin heavy variable 4-38-2	1.01525e+06	650995	547559	1.14539e+06	478508	163004	834042	508968	486703	1.17997e+06	448571				616695		303301	1.00488e+06		
P0DP23;P0DP24;P0DP25	P02585;P0DP23;P0DP24;P0DP25;P27482	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1	5.46273e+07	5.71745e+07	6.34837e+07	5.70444e+07	6.32627e+07	6.39447e+07	6.99616e+07	6.44819e+07	6.39839e+07	6.07176e+07	6.02615e+07	5.66255e+07	5.47069e+07	2.34412e+07	4.99134e+07	6.32947e+07	5.13284e+07	5.50581e+07	6.50015e+07	4.89895e+07
P0DTE1	P0DTE1	HV383_HUMAN	IGHV3-38-3	Probable non-functional immunoglobulin heavy variable 3-38-3	175734	735592		101298		49922.6	124421		81909		46849.2				526080		29212.9	161538	130899	212882
P0DTE7;P0DTE8;P0DUB6	P04746;P0DTE7;P0DTE8;P0DUB6;P19961	AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN	AMY1A;AMY1B;AMY1C	Alpha-amylase 1B	78833	77489.5		30992.4	95986.1			328951	47617.3	68911	64252.5				79275.4					393888
P10114	P10114	RAP2A_HUMAN	RAP2A	Ras-related protein Rap-2a	571626	525998	492699	495566	616030	577830	443252	404247	543297	483581	522528	614904	720240	366202	516634	506423	482891	445758	338163	365643
P10124	P10124	SRGN_HUMAN	SRGN	Serglycin	3.94886e+06	7.92124e+06	2.11722e+06	3.83692e+06	6.65779e+06	2.50716e+06	1.19332e+07	4.28284e+06	2.4558e+07	5.99793e+06	5.87563e+06	2.58596e+06	4.19324e+06	1.7439e+07	9.82544e+06	5.41425e+06	3.46869e+06	1.22178e+07	1.73748e+07	6.60114e+06
P10153	P10153	RNAS2_HUMAN	RNASE2	Non-secretory ribonuclease			687729			211080		687893	996001	821816							636371	568622		321235
P10155	P10155	RO60_HUMAN	RO60	RNA-binding protein RO60	479149	448639	429014	467006	539850	643394	330774	386739	382798	218995	430308	795445	172912	517615	83732.9	521036	409971	181490	326315	344494
P10176	P10176	COX8A_HUMAN	COX8A	Cytochrome c oxidase subunit 8A, mitochondrial	145509	72695.5	177063	206196	624890	149848	76883.2	241941	187899	175620	122963	413534		464575		470526	310035	62516.7		
P10301	P10301	RRAS_HUMAN	RRAS	Ras-related protein R-Ras	4.30258e+06	3.54091e+06	4.04779e+06	3.69353e+06	5.31983e+06	5.13076e+06	3.99905e+06	4.63527e+06	4.38028e+06	3.43875e+06	3.30796e+06	3.53636e+06	6.17351e+06	2.42919e+06	3.62854e+06	4.24983e+06	3.82291e+06	3.13335e+06	3.67444e+06	1.73864e+06
P10321	P10321	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain	6.90281e+06	2.43426e+06	4.47059e+06	2.80097e+06	5.86054e+06	5.9208e+06	6.84654e+06	9.20635e+06	8.03396e+06	2.5183e+06	2.76842e+06	890247	4.99861e+06	468795	6.61555e+06	2.88107e+06	2.76357e+06	6.95431e+06	5.2576e+06	4.34425e+06
P10398	P10398	ARAF_HUMAN	ARAF	Serine/threonine-protein kinase A-Raf	418555	589562	504424	486306	238942	599384	428606	418799	436087	298183	361752	393467	350300	849527	368518	302619	602407	336710	425627	383990
P10515	P10515	ODP2_HUMAN	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	887868	670837	703139	510336	627036	322446	232573	705978	509209	641357	405257	963298	390362	1.9987e+06		1.0857e+06	945516	153822		352753
P10586	P10586	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F	204170			266921	463112	415876	561727		236585		670174	1.0776e+06	523193	75294.3		430645	254077	431690		669780
P10599	P10599	THIO_HUMAN	TXN	Thioredoxin	1.62468e+07	1.92187e+07	1.85135e+07	1.8407e+07	1.57642e+07	1.8371e+07	1.99295e+07	1.70737e+07	1.5182e+07	1.76236e+07	1.84439e+07	1.10251e+07	1.4699e+07	1.53517e+07	1.06786e+07	1.65329e+07	1.77303e+07	1.67595e+07	1.79642e+07	9.19157e+06
P10606	P10606	COX5B_HUMAN	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	5.87687e+06	5.3725e+06	5.3386e+06	4.51825e+06	4.1669e+06	2.40176e+06	3.44314e+06	4.61035e+06	4.50394e+06	5.23999e+06	3.44468e+06	8.05468e+06	3.94614e+06	1.52669e+07	1.4816e+06	6.12572e+06	7.3712e+06	3.27379e+06	4.01643e+06	3.00785e+06
P10619	P10619	PPGB_HUMAN	CTSA	Lysosomal protective protein	1.2582e+06	1.08641e+06	688909	484517	999206	691304	1.28189e+06	1.50876e+06	1.27914e+06	1.04888e+06	1.01698e+06	312335	1.01659e+06	1.24147e+06	1.00759e+06	721675	776128	787105	1.55746e+06	504677
P10643	P10643	CO7_HUMAN	C7	Complement component C7	1.01396e+07	1.39185e+07	1.07608e+07	1.14913e+07	1.46837e+07	5.76006e+06	1.56387e+07	2.22575e+07	1.16677e+07	2.32069e+07	2.49409e+07	1.08223e+07	8.91943e+06	1.82057e+06	3.12118e+07	6.6803e+06	5.90232e+06	2.74652e+07	2.95777e+07	1.79896e+07
P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	1.18665e+07	1.22227e+07	1.13959e+07	1.37805e+07	1.03512e+07	1.53353e+07	1.06693e+07	7.94504e+06	1.40842e+07	1.35235e+07	9.0709e+06	1.06995e+07	1.22353e+07	9.24765e+06	1.25268e+07	1.09384e+07	1.03717e+07	1.20363e+07	9.34091e+06	5.6692e+06
P10645	P10645	CMGA_HUMAN	CHGA	Chromogranin-A		2.1293e+06			4.02762e+06				2.93445e+06							1.49754e+06	1.18491e+06		1.59179e+06	
P10646	P10646	TFPI1_HUMAN	TFPI	Tissue factor pathway inhibitor	1.65721e+06	3.22162e+06	591670	826483	891625	853796	4.10455e+06	2.94328e+06	1.5985e+06	2.37676e+06	988197	421806	456432	399650	968406	1.18311e+06	1.97026e+06	886959	789389	1.05943e+06
P10768	P10768	ESTD_HUMAN	ESD	S-formylglutathione hydrolase	3.32145e+06	3.38756e+06	4.04545e+06	3.89453e+06	3.50879e+06	3.31719e+06	3.97618e+06	2.95111e+06	3.70578e+06	3.68883e+06	3.64445e+06	2.42169e+06	2.29943e+06	1.71884e+06	2.18332e+06	3.2384e+06	3.13868e+06	2.98413e+06	2.86872e+06	2.51905e+06
P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial	7.8132e+06	7.28963e+06	7.79448e+06	5.67265e+06	7.06032e+06	4.10316e+06	4.91842e+06	8.71539e+06	6.23389e+06	7.62112e+06	5.60423e+06	1.26511e+07	6.08653e+06	1.82098e+07	2.94432e+06	1.00422e+07	8.39413e+06	4.27039e+06	5.45385e+06	3.91312e+06
P10909	P10909	CLUS_HUMAN	CLU	Clusterin	5.75983e+08	3.88751e+08	3.11985e+08	2.21896e+08	6.28594e+08	2.22956e+08	6.78237e+08	3.14602e+08	4.10959e+08	4.31251e+08	4.8512e+08	2.79937e+08	2.55738e+08	1.01472e+08	7.47981e+08	3.73453e+08	3.10036e+08	4.11859e+08	9.72021e+08	5.83437e+08
P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP	8.47813e+06	8.97611e+06	1.01606e+07	6.38804e+06	1.01462e+07	7.64075e+06	9.02742e+06	1.38354e+07	9.50443e+06	1.10988e+07	9.65583e+06	1.19265e+07	7.96912e+06	2.75623e+07	5.33304e+06	1.37917e+07	1.14739e+07	6.15841e+06	1.44517e+07	9.77162e+06
P11047	P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1									286603		391682			651205			218148	508053	266298	
P11049	P11049	CD37_HUMAN	CD37	Leukocyte antigen CD37	2.80818e+06	1.15741e+06	2.84657e+06	2.05166e+06	4.37207e+06	2.88107e+06	2.84998e+06	4.77419e+06	3.02872e+06	1.9665e+06	3.23383e+06	3.97261e+06		1.4268e+06	4.48206e+06	6.07715e+06	2.52832e+06		1.37888e+06	1.93707e+06
P11117	P11117	PPAL_HUMAN	ACP2	Lysosomal acid phosphatase	544064	345677	369153		351009	328314	272950	473760	307223	351094	360701			598422		315420	294640		249477	
P11142	P0DMV8;P0DMV9;P11021;P11142;P34931;P54652	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein	3.04463e+07	3.85788e+07	3.5125e+07	3.48486e+07	3.03291e+07	3.92878e+07	3.82833e+07	3.40703e+07	3.5747e+07	3.78324e+07	3.56376e+07	3.04658e+07	2.73571e+07	4.9999e+07	2.89685e+07	3.19111e+07	3.58122e+07	3.07663e+07	3.69505e+07	3.70128e+07
P11166	P11166	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1	1.00171e+08	4.6952e+07	9.59208e+07	6.03012e+07	4.14894e+07	1.41192e+08	5.24618e+07	7.80739e+07	9.60085e+07	4.1521e+07	7.61246e+07	6.67319e+07	3.10907e+07	3.11528e+07	6.58765e+07	3.77905e+07	4.28765e+07	6.28865e+07	2.31106e+07	4.56098e+07
P11169	P11169;Q8TDB8	GTR3_HUMAN	SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3	1.22405e+08	1.32825e+08	1.36828e+08	1.24884e+08	1.49044e+08	2.29329e+08	1.20061e+08	1.42131e+08	1.14975e+08	1.31178e+08	1.577e+08	1.229e+08	1.33971e+08	1.12939e+08	1.12664e+08	1.39083e+08	1.42035e+08	1.05257e+08	1.00098e+08	9.25299e+07
P11171	P11171	EPB41_HUMAN	EPB41	Protein 4.1	6.2836e+06	5.80465e+06	1.272e+07	4.13218e+06	3.62465e+06	9.25182e+06	5.36269e+06	6.19763e+06	1.14214e+07	3.70474e+06	4.67797e+06	4.08517e+06	3.3381e+06	8.85214e+06	4.92522e+06	5.38723e+06	5.75165e+06	5.41276e+06	3.13972e+06	3.26875e+06
P11172	P11172	UMPS_HUMAN	UMPS	Uridine 5'-monophosphate synthase	699941	716612	990162	854444	736294	783469	858474	1.16491e+06	883420	839027	958639	986411	877966	957417	481927	1.03476e+06	1.03698e+06	636075	907284	1.00115e+06
P11177	P11177	ODPB_HUMAN	PDHB	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1.47922e+06	1.41028e+06	1.49727e+06	1.00937e+06	1.08219e+06	697251	843585	1.27304e+06	1.20598e+06	1.40987e+06	916700	2.09078e+06	1.19346e+06	3.65303e+06	687554	2.43083e+06	1.90668e+06	508160	817331	610971
P11182	P11182	ODB2_HUMAN	DBT	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	231878		293768	159786	230632	163188		246092		159775	192642	526457		598464		408430	283248			
P11215	P11215	ITAM_HUMAN	ITGAM	Integrin alpha-M	1.29829e+07	9.86909e+06	2.69166e+07	8.56868e+06	1.21048e+07	9.63255e+06	8.4871e+06	2.50293e+07	2.64769e+07	1.68984e+07	7.36548e+06	1.1946e+07	5.18971e+06	562828	7.59747e+06	8.81144e+06	1.91633e+07	4.10738e+07	2.3915e+07	3.13269e+07
P11216	P06737;P11216;P11217	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form	5.58297e+06	5.67012e+06	5.7247e+06	5.32424e+06	6.80341e+06	4.42664e+06	3.94738e+06	4.88017e+06	4.67652e+06	5.01845e+06	5.20204e+06	8.0278e+06	6.3013e+06	5.84662e+06	3.67863e+06	1.01322e+07	7.66349e+06	3.26891e+06	5.08274e+06	4.65903e+06
P11217	P11217	PYGM_HUMAN	PYGM	Glycogen phosphorylase, muscle form		139539	185937		586682	170029					540768			611798		402994	273604			
P11226	P11226	MBL2_HUMAN	MBL2	Mannose-binding protein C	3.70752e+06	2.95619e+06	878309	1.86494e+06	1.98513e+06	2.42773e+06	767576	4.04233e+06	1.00502e+06	3.56811e+06	282646	1.62443e+06	2.25128e+06		2.17762e+06	1.75675e+06	808991	5.39818e+06	2.84868e+06	4.40712e+06
P11233	P11233	RALA_HUMAN	RALA	Ras-related protein Ral-A	3.61539e+06	2.52334e+06	4.21518e+06	3.27937e+06	5.49195e+06	3.94327e+06	4.83677e+06	5.31788e+06	4.99429e+06	3.89719e+06	4.10676e+06	2.70564e+06	4.1431e+06	947062	3.69115e+06	2.46895e+06	2.93776e+06	4.11532e+06	3.18264e+06	3.15653e+06
P11234	P11233;P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	2.00433e+07	2.64408e+07	3.34619e+07	2.13641e+07	2.67756e+07	3.69362e+07	3.1598e+07	3.10615e+07	3.68312e+07	3.67685e+07	2.80521e+07	3.8938e+07	2.63286e+07	4.92191e+06	2.26691e+07	3.23203e+07	3.03256e+07	2.15193e+07	2.38995e+07	2.31081e+07
P11274	P11274	BCR_HUMAN	BCR	Breakpoint cluster region protein		151617	326194	360655	526136	337766	273558	338404	253579	263491	346027		305173	436181	213602	202721	251183	174490		199331
P11277	P11277	SPTB1_HUMAN	SPTB	Spectrin beta chain, erythrocytic	3.83617e+06	5.60346e+06	1.89634e+07	3.96498e+06	3.21048e+06	2.72447e+06	3.72145e+06	3.86579e+06	1.24783e+07	2.83317e+06	3.43421e+06	3.04871e+06	3.14464e+06	1.29009e+07	4.14207e+06	5.34741e+06	7.41586e+06	4.00869e+06	2.33767e+06	1.79424e+06
P11279	P11279	LAMP1_HUMAN	LAMP1	Lysosome-associated membrane glycoprotein 1	8.45473e+06	7.68947e+06	9.4755e+06	5.15335e+06	5.69015e+06	5.50661e+06	6.56874e+06	9.11877e+06	7.48057e+06	7.56253e+06	5.90923e+06	3.29436e+06	4.1783e+06	4.5662e+06	7.24866e+06	3.49114e+06	5.95589e+06	7.65534e+06	6.33032e+06	7.7342e+06
P11310	P11310	ACADM_HUMAN	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	3.0911e+06	2.64011e+06	3.76889e+06	2.54719e+06	2.53138e+06	1.94734e+06	2.45084e+06	2.87604e+06	3.7434e+06	3.76368e+06	1.92122e+06	4.93974e+06	2.00099e+06	7.08464e+06	658122	4.83705e+06	3.55597e+06	1.81677e+06	2.7736e+06	1.71228e+06
P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	9.82868e+06	9.12831e+06	1.00721e+07	9.64617e+06	7.90804e+06	1.03129e+07	8.56709e+06	8.2089e+06	9.29723e+06	8.90591e+06	7.98473e+06	8.59163e+06	8.3284e+06	8.89473e+06	5.74096e+06	9.30248e+06	1.20182e+07	6.69484e+06	1.12012e+07	8.45587e+06
P11441	P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	512615			527930		320068	450324		693910			937268	1.35793e+06	972738		908845	464245	463765	643595	
P11586	P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	3.89203e+06	3.13039e+06	3.34882e+06	3.60241e+06	2.37821e+06	3.25256e+06	2.83387e+06	3.20906e+06	2.92608e+06	2.79819e+06	3.11726e+06	3.61991e+06	2.53639e+06	4.91068e+06	2.14626e+06	2.3391e+06	3.71695e+06	2.04727e+06	3.05233e+06	1.95047e+06
P11597	P11597	CETP_HUMAN	CETP	Cholesteryl ester transfer protein	3.88754e+06	4.17734e+06	4.1327e+06	4.34626e+06	1.43266e+07	2.27775e+06	6.97414e+06	5.293e+06	3.07583e+06	4.41593e+06	6.64413e+06	3.70188e+06	6.30927e+06	1.11051e+06	9.7252e+06	4.76189e+06	4.85142e+06	9.5944e+06	1.70783e+07	1.21532e+07
P11678	P11678	PERE_HUMAN	EPX	Eosinophil peroxidase	677886	2.1945e+06	1.37824e+06	566996	1.30273e+06	549703	1.61196e+06	1.64025e+06	1.59286e+07	8.52458e+06	1.25286e+06	1.18793e+06	206990		792177	1.23687e+06	8.05792e+06	7.47928e+06	1.06714e+07	1.16913e+07
P11717	P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	377198	135072	549929	325963	357185	284212	419014	1.0314e+06	720787	596153	604382					519594	395366	1.11e+06	631927	915387
P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	5.21941e+06	4.39065e+06	5.31883e+06	5.34157e+06	5.36921e+06	4.3492e+06	4.91113e+06	3.44926e+06	5.14348e+06	4.61085e+06	4.9001e+06	5.65831e+06	6.57481e+06	3.25112e+06	4.6398e+06	6.04344e+06	5.43469e+06	4.1199e+06	1.2272e+07	5.14203e+06
P11836	P11836	CD20_HUMAN	MS4A1	B-lymphocyte antigen CD20	1.9433e+06	718374	1.75854e+06	1.51363e+06	2.57263e+06	1.3473e+06	1.51215e+06	3.91281e+06	1.83087e+06	731988	1.86955e+06	2.6222e+06	593801	1.38413e+06	1.82373e+06	460607	640692	2.0075e+06		1.56996e+06
P11908	P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2			189649	52220.6		185800				36484.9	33615.6	43583.4	96804.8	55310.9	22080.8		37831.7			
P11940	P11940;Q9H361	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	4.76686e+06	5.06502e+06	5.41198e+06	6.28382e+06	5.13268e+06	6.44242e+06	5.15362e+06	4.53382e+06	5.0694e+06	4.68028e+06	5.83443e+06	4.79497e+06	4.54112e+06	6.29727e+06	4.76109e+06	4.16644e+06	5.25121e+06	4.42263e+06	5.21005e+06	4.01885e+06
P12035	P12035	K2C3_HUMAN	KRT3	Keratin, type II cytoskeletal 3																	361173			
P12074	P12074	CX6A1_HUMAN	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	215691	221597	233503			104642				277222				315278			446985			
P12081	P12081;P49590	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	3.41149e+06	3.50709e+06	3.20888e+06	3.51808e+06	3.36857e+06	3.23007e+06	3.33733e+06	3.38521e+06	3.2562e+06	3.34655e+06	3.85861e+06	2.81492e+06	3.771e+06	2.46025e+06	3.11192e+06	3.10429e+06	3.51306e+06	3.4709e+06	3.76825e+06	3.01341e+06
P12109	P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	2.90478e+07	4.18685e+07	1.33061e+06	8.75543e+06	2.11159e+07	2.90141e+06	8.72575e+06	1.31951e+07	1.38389e+07	3.72311e+06	5.15544e+06	1.70133e+07	1.11327e+07	438505	4.56808e+06	3.73655e+07	2.63145e+07	6.73402e+06	4.00481e+06	7.57445e+06
P12110	P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	3.55622e+06	3.23245e+06	1.21298e+06	4.26742e+06	4.39265e+06	2.24358e+06	3.78706e+06	3.72273e+06	1.47677e+06	1.32794e+06	2.44221e+06	1.28044e+06	1.82401e+06	505356	2.45749e+06	1.90587e+06	2.97995e+06	2.34979e+06	2.05361e+06	947492
P12111	P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	8.82124e+06	8.75039e+06	2.21521e+06	8.33471e+06	9.7969e+06	4.61488e+06	7.21576e+06	6.36411e+06	2.76619e+06	3.35283e+06	4.39957e+06	2.95127e+06	3.91586e+06	632205	5.85238e+06	4.18117e+06	6.3977e+06	4.68236e+06	5.48312e+06	1.25418e+06
P12236	P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	898423	703632	1.37894e+06	684533	597770	547572	915467	1.00876e+06	882544	791629	963491	1.15203e+06	865828	2.19212e+06	476477	995941	1.10003e+06	369911	837529	
P12259	P12259	FA5_HUMAN	F5	Coagulation factor V	6.93636e+07	1.51332e+08	7.00953e+07	8.34199e+07	8.97558e+07	1.07548e+08	1.75944e+08	1.97199e+08	1.65291e+08	1.4669e+08	1.13836e+08	5.84731e+07	5.64997e+07	5.02642e+07	1.53414e+08	9.06173e+07	1.30368e+08	2.00346e+08	1.28096e+08	1.01268e+08
P12268	P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	600315	717484	484464	683084	495511	589298	523132	1.02799e+06	682858	629600	1.02304e+06	788258	460727	778165	394477		614065	373008	744651	300889
P12273	P12273	PIP_HUMAN	PIP	Prolactin-inducible protein	1.16881e+06	2.79849e+06	377656	1.95624e+06	1.84823e+06		413551	468600	764331	141808	579791	642340	1.22961e+06	96677.5	715424	202293		500914	428677	
P12318	P12318;P31994;P31995	FCG2A_HUMAN	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	3.4092e+06	4.75538e+06	7.26767e+06	4.23779e+06	5.20102e+06	4.94931e+06	5.21637e+06	9.35088e+06	6.66431e+06	4.27234e+06	5.01396e+06	3.97201e+06	4.10215e+06	4.68168e+06	4.45832e+06	3.73184e+06	5.38156e+06	6.80164e+06	6.01139e+06	7.54111e+06
P12429	P12429	ANXA3_HUMAN	ANXA3	Annexin A3	1.22594e+07	1.33609e+07	3.00217e+07	8.17869e+06	1.10398e+07	1.07021e+07	1.19384e+07	2.2743e+07	2.12125e+07	2.10767e+07	9.11803e+06	1.24957e+07	7.01883e+06	914055	8.01725e+06	1.31769e+07	2.54666e+07	3.59117e+07	2.60474e+07	3.51309e+07
P12532	P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	2.73904e+06	4.85051e+06	187401	593873	1.94309e+06	100757	527503	2.07179e+06	1.0327e+06	338078	412456	1.01408e+06	3.05329e+06		363007	2.15596e+06	2.14402e+06	835994	632422	795860
P12724	P12724	ECP_HUMAN	RNASE3	Eosinophil cationic protein	889776	3.91216e+06	1.53163e+06	687916	662279	557593	932161	1.63072e+06	4.99706e+06	2.94907e+06	751459	637713	489083	162766	793563	1.78919e+06	4.36783e+06	3.15251e+06	1.78972e+06	2.17182e+06
P12814	P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	2.07912e+08	2.01747e+08	1.83424e+08	1.81529e+08	1.54736e+08	2.0534e+08	1.78876e+08	1.32727e+08	1.54863e+08	2.17825e+08	1.84135e+08	1.85876e+08	1.95004e+08	2.37241e+08	1.59865e+08	2.00489e+08	2.01779e+08	1.39549e+08	1.14851e+08	8.07212e+07
P12821	P12821	ACE_HUMAN	ACE	Angiotensin-converting enzyme	2.95912e+06	826217	1.51001e+06	962545	4.28364e+06	1.09832e+06	2.0173e+06	3.13996e+06	4.20186e+06	911806	1.63938e+06	1.23379e+06	1.73271e+06	895032	2.33414e+06	919346	655398	1.90955e+06	683856	1.37965e+06
